GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400100000,060,34,001,12100,999,99999,999,County subdivisions not defined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400100100,060,34,001,12100,999,99999,999,Absecon city,8411,3365,7638,2902,8411,7638,6430,6363,832,459,32,13,667,570,0,0,247,115,203,118
3400102080,060,34,001,12100,999,99999,999,Atlantic City city,39558,20013,40517,20219,39558,40517,10543,10809,15148,17892,242,193,6153,4213,18,24,5549,5575,1905,1811
3400107810,060,34,001,12100,999,99999,999,Brigantine city,9450,9222,12594,9304,9450,12594,8253,10472,275,496,16,23,446,720,3,6,237,588,220,289
3400108680,060,34,001,12100,999,99999,999,Buena borough,4603,1855,3873,1553,4603,3873,3383,2993,434,296,34,20,82,17,3,1,535,408,132,138
3400108710,060,34,001,12100,999,99999,999,Buena Vista township,7570,3008,7436,2827,7570,7436,5918,5751,1018,1167,35,16,80,17,3,1,312,303,204,181
3400115160,060,34,001,12100,999,99999,999,Corbin City city,492,212,468,204,492,468,480,440,2,13,0,4,6,6,0,0,3,3,1,2
3400120290,060,34,001,12100,999,99999,999,Egg Harbor township,43323,16347,30726,12067,43323,30726,30230,24404,4152,3185,163,66,5096,1552,8,15,2253,868,1421,636
3400120350,060,34,001,12100,999,99999,999,Egg Harbor City city,4243,1736,4545,1770,4243,4545,2671,3036,761,645,16,17,94,57,4,4,521,613,176,173
3400121870,060,34,001,12100,999,99999,999,Estell Manor city,1735,673,1585,546,1735,1585,1674,1493,16,57,2,7,28,5,0,0,3,2,12,21
3400123940,060,34,001,12100,999,99999,999,Folsom borough,1885,717,1972,702,1885,1972,1714,1809,79,87,3,3,16,17,3,3,35,31,35,22
3400125560,060,34,001,12100,999,99999,999,Galloway township,37349,14132,31209,11406,37349,31209,26860,24081,4271,3058,99,75,3744,2498,9,15,1266,807,1100,675
3400129280,060,34,001,12100,999,99999,999,Hamilton township,26503,10196,20499,7567,26503,20499,18011,14646,4916,3949,68,60,1435,675,16,10,1092,682,965,477
3400129430,060,34,001,12100,999,99999,999,Hammonton town,14791,5715,12604,4843,14791,12604,12080,11073,444,219,42,18,203,144,2,3,1599,987,421,160
