GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
3400100000,060,34,001,12100,999,99999,999,County subdivisions not defined,0,0,0,0,0,0
3400100100,060,34,001,12100,999,99999,999,Absecon city,8411,3365,7638,2902,8411,7638
3400102080,060,34,001,12100,999,99999,999,Atlantic City city,39558,20013,40517,20219,39558,40517
3400107810,060,34,001,12100,999,99999,999,Brigantine city,9450,9222,12594,9304,9450,12594
3400108680,060,34,001,12100,999,99999,999,Buena borough,4603,1855,3873,1553,4603,3873
3400108710,060,34,001,12100,999,99999,999,Buena Vista township,7570,3008,7436,2827,7570,7436
3400115160,060,34,001,12100,999,99999,999,Corbin City city,492,212,468,204,492,468
3400120290,060,34,001,12100,999,99999,999,Egg Harbor township,43323,16347,30726,12067,43323,30726
3400120350,060,34,001,12100,999,99999,999,Egg Harbor City city,4243,1736,4545,1770,4243,4545
3400121870,060,34,001,12100,999,99999,999,Estell Manor city,1735,673,1585,546,1735,1585
3400123940,060,34,001,12100,999,99999,999,Folsom borough,1885,717,1972,702,1885,1972
3400125560,060,34,001,12100,999,99999,999,Galloway township,37349,14132,31209,11406,37349,31209
3400129280,060,34,001,12100,999,99999,999,Hamilton township,26503,10196,20499,7567,26503,20499
3400129430,060,34,001,12100,999,99999,999,Hammonton town,14791,5715,12604,4843,14791,12604
3400140530,060,34,001,12100,999,99999,999,Linwood city,7092,2798,7172,2751,7092,7172
3400141370,060,34,001,12100,999,99999,999,Longport borough,895,1656,1054,1574,895,1054
3400143890,060,34,001,12100,999,99999,999,Margate City city,6354,7114,8193,7006,6354,8193
3400149410,060,34,001,12100,999,99999,999,Mullica township,6147,2360,5912,2176,6147,5912
3400152950,060,34,001,12100,999,99999,999,Northfield city,8624,3260,7725,2922,8624,7725
3400159640,060,34,001,12100,999,99999,999,Pleasantville city,20249,7219,19012,7042,20249,19012
3400160600,060,34,001,12100,999,99999,999,Port Republic city,1115,444,1037,389,1115,1037
3400168430,060,34,001,12100,999,99999,999,Somers Point city,10795,5556,11614,5402,10795,11614
3400175620,060,34,001,12100,999,99999,999,Ventnor City city,10650,7829,12910,8009,10650,12910
3400180330,060,34,001,12100,999,99999,999,Weymouth township,2715,1220,2257,909,2715,2257
3401309250,060,34,013,35620,408,99999,999,Caldwell borough,7822,3510,,,7822,
3400300700,060,34,003,35620,408,99999,999,Allendale borough,6505,2388,6699,2143,6505,6699
3400301090,060,34,003,35620,408,99999,999,Alpine borough,1849,670,2183,730,1849,2183
3400305170,060,34,003,35620,408,99999,999,Bergenfield borough,26764,9200,26247,9147,26764,26247
3400306490,060,34,003,35620,408,99999,999,Bogota borough,8187,2888,8249,2915,8187,8249
3400310480,060,34,003,35620,408,99999,999,Carlstadt borough,6127,2495,5917,2473,6127,5917
3400313570,060,34,003,35620,408,99999,999,Cliffside Park borough,23594,10665,23007,10375,23594,23007
3400313810,060,34,003,35620,408,99999,999,Closter borough,8373,2860,8383,2865,8373,8383
3400315820,060,34,003,35620,408,99999,999,Cresskill borough,8573,3114,7746,2702,8573,7746
3400317530,060,34,003,35620,408,99999,999,Demarest borough,4881,1659,4845,1634,4881,4845
3400318400,060,34,003,35620,408,99999,999,Dumont borough,17479,6542,17503,6465,17479,17503
